0,4,22,7.725,7.725,16.69999,RGBA(0.000, 0.000, 1.000, 1.000),(0.5, 0.0, 0.3, 0.8)
0,4,29,-4.635,-4.635,18.8,RGBA(0.000, 0.000, 1.000, 1.000),(0.9, 0.3, 0.0, 0.4)
0,4,31,-19.25,-8.25,28.00003,RGBA(0.000, 0.000, 1.000, 1.000),(0.5, 0.3, 0.6, 0.6)
0,4,32,-1.545,-7.725,18.29999,RGBA(0.000, 0.000, 1.000, 1.000),(0.9, 0.0, 0.5, 0.1)
0,4,34,-13.75,-13.75,29.10003,RGBA(1.000, 0.000, 0.000, 1.000),(0.5, 0.6, 0.4, 0.5)
0,4,40,1.545,-4.635,19.3,RGBA(0.000, 1.000, 0.000, 1.000),(0.6, 0.3, 0.5, 0.5)
0,4,41,8.25,-8.25,32.90003,RGBA(0.000, 0.000, 1.000, 1.000),(0.8, 0.3, 0.2, 0.6)
0,4,42,7.725,-4.635,17.79999,RGBA(1.000, 0.000, 0.000, 1.000),(0.0, 0.5, 0.5, 0.7)
0,4,43,19.25,-8.25,28.00003,RGBA(1.000, 0.922, 0.016, 1.000),(0.1, 0.2, 0.7, 0.6)
0,5,0,-1.545,1.545,19.8,RGBA(1.000, 0.922, 0.016, 1.000),(0.6, 0.5, 0.6, 0.3)
0,5,1,-8.25,2.75,33.90002,RGBA(1.000, 0.000, 0.000, 1.000),(0.6, 0.4, 0.5, 0.4)
0,5,3,-10.815,1.545,16.69999,RGBA(1.000, 0.922, 0.016, 1.000),(0.2, 0.7, 0.6, 0.3)
0,5,7,-19.25,8.25,28.00003,RGBA(0.000, 0.000, 1.000, 1.000),(0.4, 0.7, 0.5, 0.3)
0,5,12,1.545,1.545,19.8,RGBA(1.000, 0.000, 0.000, 1.000),(0.1, 0.3, 0.9, 0.3)
0,5,13,8.25,2.75,33.90002,RGBA(0.000, 0.000, 1.000, 1.000),(0.7, 0.6, 0.3, 0.3)
0,5,14,7.725,1.545,18.29999,RGBA(0.000, 0.000, 1.000, 1.000),(0.8, 0.4, 0.5, 0.0)
0,5,15,19.25,2.75,29.10003,RGBA(1.000, 0.000, 0.000, 1.000),(0.3, 0.6, 0.7, 0.2)
0,5,27,-10.815,-1.545,16.69999,RGBA(1.000, 0.000, 0.000, 1.000),(0.0, 0.5, 0.5, 0.7)
0,5,28,-2.75,-8.25,33.90002,RGBA(0.000, 1.000, 0.000, 1.000),(0.1, 0.4, 0.1, 0.9)
0,5,31,-19.25,-8.25,28.00003,RGBA(0.000, 1.000, 0.000, 1.000),(0.4, 0.7, 0.1, 0.6)
0,5,34,-13.75,-13.75,29.10003,RGBA(1.000, 0.922, 0.016, 1.000),(0.4, 0.4, 0.5, 0.7)
0,5,36,1.545,-1.545,19.8,RGBA(0.000, 1.000, 0.000, 1.000),(0.8, 0.4, 0.0, 0.4)
0,5,37,8.25,-2.75,33.90002,RGBA(1.000, 0.922, 0.016, 1.000),(0.1, 0.9, 0.0, 0.5)
0,5,40,1.545,-4.635,19.3,RGBA(1.000, 0.922, 0.016, 1.000),(0.4, 0.5, 0.3, 0.7)
0,5,44,2.75,-13.75,32.00005,RGBA(1.000, 0.000, 0.000, 1.000),(0.4, 0.4, 0.8, 0.3)
0,6,3,-10.815,1.545,16.69999,RGBA(1.000, 0.922, 0.016, 1.000),(0.4, 0.6, 0.4, 0.5)
0,6,5,-8.25,8.25,32.90003,RGBA(0.000, 0.000, 1.000, 1.000),(0.4, 0.7, 0.2, 0.5)
0,6,6,-7.725,4.635,17.79999,RGBA(0.000, 1.000, 0.000, 1.000),(0.0, 0.7, 0.6, 0.4)
0,6,8,-2.75,13.75,32.00005,RGBA(1.000, 0.000, 0.000, 1.000),(0.4, 0.2, 0.6, 0.7)
0,6,13,4.635,1.545,19.3,RGBA(0.000, 0.000, 1.000, 1.000),(0.2, 0.3, 0.5, 0.8)
0,6,21,8.25,13.75,31.10004,RGBA(1.000, 0.000, 0.000, 1.000),(0.3, 0.9, 0.4, 0.1)
0,6,22,13.75,13.75,29.10003,RGBA(1.000, 0.000, 0.000, 1.000),(0.1, 0.8, 0.5, 0.3)
0,6,23,19.25,13.75,25.70002,RGBA(1.000, 0.922, 0.016, 1.000),(0.8, 0.2, 0.6, 0.2)
0,6,24,-1.545,-1.545,19.8,RGBA(1.000, 0.922, 0.016, 1.000),(0.5, 0.6, 0.5, 0.4)
0,6,26,-13.75,-2.75,32.00005,RGBA(0.000, 0.000, 1.000, 1.000),(0.6, 0.5, 0.1, 0.6)
