0,5,-4.635,4.635,18.8,RGBA(0.000, 1.000, 0.000, 1.000),(0.5, 0.5, 0.1, 0.6)
0,10,-13.75,13.75,29.10003,RGBA(0.000, 0.000, 1.000, 1.000),(0.5, 0.3, 0.8, 0.1)
0,13,4.635,1.545,19.3,RGBA(0.000, 0.000, 1.000, 1.000),(0.4, 0.6, 0.7, 0.1)
0,15,19.25,2.75,29.10003,RGBA(0.000, 1.000, 0.000, 1.000),(0.1, 0.8, 0.5, 0.2)
0,20,1.545,7.725,18.29999,RGBA(0.000, 0.000, 1.000, 1.000),(0.6, 0.5, 0.6, 0.1)
0,23,19.25,13.75,25.70002,RGBA(0.000, 0.000, 1.000, 1.000),(0.7, 0.4, 0.4, 0.4)
0,24,-1.545,-1.545,19.8,RGBA(1.000, 0.922, 0.016, 1.000),(0.8, 0.5, 0.1, 0.2)
0,29,-8.25,-8.25,32.90003,RGBA(1.000, 0.000, 0.000, 1.000),(0.7, 0.6, 0.2, 0.4)
0,32,-1.545,-7.725,18.29999,RGBA(1.000, 0.922, 0.016, 1.000),(0.5, 0.5, 0.1, 0.7)
0,33,-8.25,-13.75,31.10004,RGBA(1.000, 0.922, 0.016, 1.000),(0.6, 0.5, 0.4, 0.4)
0,36,1.545,-1.545,19.8,RGBA(0.000, 0.000, 1.000, 1.000),(0.8, 0.4, 0.1, 0.4)
0,42,13.75,-8.25,31.10004,RGBA(0.000, 0.000, 1.000, 1.000),(0.1, 1.0, 0.2, 0.1)
0,46,7.725,-7.725,16.69999,RGBA(1.000, 0.000, 0.000, 1.000),(0.1, 0.7, 0.4, 0.6)
0,47,19.25,-13.75,25.70002,RGBA(0.000, 0.000, 1.000, 1.000),(0.6, 0.3, 0.8, 0.2)

1,0,-1.545,1.545,19.8,RGBA(1.000, 0.922, 0.016, 1.000),(0.4, 0.5, 0.7, 0.3)
1,3,-19.25,2.75,29.10003,RGBA(0.000, 1.000, 0.000, 1.000),(0.1, 0.5, 0.7, 0.4)
1,5,-4.635,4.635,18.8,RGBA(1.000, 0.000, 0.000, 1.000),(0.4, 0.3, 0.7, 0.6)
1,11,-19.25,13.75,25.70002,RGBA(1.000, 0.000, 0.000, 1.000),(0.5, 0.5, 0.6, 0.3)
1,13,4.635,1.545,19.3,RGBA(0.000, 0.000, 1.000, 1.000),(0.5, 0.4, 0.5, 0.6)
1,18,13.75,8.25,31.10004,RGBA(1.000, 0.000, 0.000, 1.000),(0.5, 0.8, 0.3, 0.0)
1,20,1.545,7.725,18.29999,RGBA(0.000, 0.000, 1.000, 1.000),(0.3, 0.5, 0.7, 0.5)
1,22,13.75,13.75,29.10003,RGBA(0.000, 1.000, 0.000, 1.000),(0.3, 0.4, 0.6, 0.6)
1,24,-1.545,-1.545,19.8,RGBA(1.000, 0.000, 0.000, 1.000),(0.1, 0.1, 0.6, 0.8)
1,28,-2.75,-8.25,33.90002,RGBA(1.000, 0.922, 0.016, 1.000),(0.6, 0.2, 0.8, 0.0)
1,30,-7.725,-4.635,17.79999,RGBA(1.000, 0.000, 0.000, 1.000),(0.3, 0.5, 0.8, 0.1)
1,31,-19.25,-8.25,28.00003,RGBA(1.000, 0.922, 0.016, 1.000),(0.5, 0.6, 0.4, 0.5)
1,37,4.635,-1.545,19.3,RGBA(1.000, 0.000, 0.000, 1.000),(0.6, 0.6, 0.5, 0.1)
1,39,19.25,-2.75,29.10003,RGBA(1.000, 0.922, 0.016, 1.000),(0.7, 0.3, 0.7, 0.1)
1,40,1.545,-4.635,19.3,RGBA(1.000, 0.000, 0.000, 1.000),(0.2, 0.4, 0.6, 0.7)
1,42,13.75,-8.25,31.10004,RGBA(0.000, 1.000, 0.000, 1.000),(0.6, 0.2, 0.6, 0.5)

2,1,-4.635,1.545,19.3,RGBA(0.000, 1.000, 0.000, 1.000),(0.7, 0.4, 0.4, 0.4)
2,2,-13.75,2.75,32.00005,RGBA(0.000, 0.000, 1.000, 1.000),(0.7, 0.6, 0.1, 0.4)
2,4,-1.545,4.635,19.3,RGBA(0.000, 1.000, 0.000, 1.000),(0.2, 0.5, 0.8, 0.2)
2,6,-13.75,8.25,31.10004,RGBA(1.000, 0.922, 0.016, 1.000),(0.3, 0.8, 0.3, 0.5)
2,12,1.545,1.545,19.8,RGBA(1.000, 0.922, 0.016, 1.000),(0.1, 0.1, 0.4, 0.9)
2,15,19.25,2.75,29.10003,RGBA(1.000, 0.000, 0.000, 1.000),(0.4, 0.2, 0.7, 0.6)
2,18,7.725,4.635,17.79999,RGBA(0.000, 0.000, 1.000, 1.000),(0.7, 0.6, 0.1, 0.3)
2,19,19.25,8.25,28.00003,RGBA(0.000, 1.000, 0.000, 1.000),(0.5, 0.6, 0.5, 0.4)
2,28,-1.545,-4.635,19.3,RGBA(0.000, 1.000, 0.000, 1.000),(0.8, 0.5, 0.2, 0.2)
2,32,-2.75,-13.75,32.00005,RGBA(1.000, 0.000, 0.000, 1.000),(0.4, 0.6, 0.2, 0.6)
2,33,-4.635,-7.725,17.79999,RGBA(1.000, 0.922, 0.016, 1.000),(0.1, 0.8, 0.4, 0.4)
