,Basic stats,,,,,Stage 1,,,,,,,,,,,,,,,,,,,,Stage 2 ,,,,,,Awareness,,,
p_num,Avg additional responses,% of trials with more than 2 responses,% of timeouts,% trials analysed,Mean RT,Rep NT 1,Rep NT 2,Rep NT 3,Rep NT 4,Rep NT 5,Rep FT 1,Rep FT 2,Rep FT 3,Rep FT 4,Rep FT 5,Rand NT 1,Rand NT 2,Rand NT 3,Rand NT 4,Rand NT 5,Rand FT 1,Rand FT 2,Rand FT 3,Rand FT 4,Rand FT 5,Rep NT - NS,Rep NT - S,Rep FT - NS,Rep FT - S,Rand NT,Rand FT,Hits Rep NT,Hits Rep FT,FA Rand NT,FA Rand FT
27,0.180555556,2.430555556,0.694444444,96.875,2432.071685,2520.8,2540.0,3342.9,3248.9,2847.1,3628.1,2429.3,2091.3,1985.7,2353.1,3710.8,3828.3,3063.1,3357.6,2504.0,2463.3,2600.3,2064.8,2133.1,1465.0,2590.0,1735.8,2148.3,1437.8,2738.4,1613.7,0.25,0.625,0.5,0.5
28,0.65625,14.93055556,4.861111111,80.90277778,3862.733906,5210.9,3783.7,4741.5,3396.9,5059.7,3099.2,3300.6,4479.0,2598.5,2957.3,4257.7,5168.1,4715.3,4635.0,4073.3,3333.4,3446.0,5548.0,2646.7,3495.0,4408.9,3973.6,3662.7,3191.9,4025.8,3373.3,0.5,0.5,0.375,0.75
29,1.381944444,20.13888889,1.388888889,79.86111111,2079.056522,2644.6,1898.8,1837.8,2195.6,1954.2,1919.8,1779.4,1444.8,2217.3,1773.5,2223.6,2305.8,2566.9,2135.7,1857.1,1966.8,2052.6,1574.2,3187.5,1597.0,2767.1,1275.3,1208.0,2481.3,2490.2,2010.4,0.5,0.375,0.25,0.375
30,0.555555556,11.80555556,0.347222222,87.84722222,2164.395257,3273.1,2243.0,2189.1,2517.7,2020.0,2058.2,2783.4,1668.4,1776.4,1595.6,2607.0,2127.3,2479.6,2681.4,1682.0,2496.0,1832.2,4583.7,1988.9,2498.7,1755.6,2360.2,1772.5,1183.5,2337.3,1935.1,0.5,0.625,0.25,0
31,0.399305556,6.944444444,10.41666667,83.33333333,3685.070833,5068.8,4336.7,3398.5,3374.9,3385.9,2769.2,3344.7,2452.3,4557.0,3145.0,3830.3,3841.2,3024.0,3387.4,3704.7,3668.0,6257.4,2856.6,3413.6,4199.8,4681.6,3473.9,2929.0,3883.8,3871.3,3043.0,0.625,0.375,0.75,0.375
32,0.493055556,10.41666667,0.694444444,88.88888889,2386.921875,2326.3,1951.4,2293.0,2748.6,2410.0,3331.9,2248.5,2208.0,1746.8,2358.5,2514.4,1869.3,3136.4,3331.9,2161.0,3246.4,2817.7,2628.7,2898.6,2882.2,1443.0,2826.5,1886.7,2176.3,2334.1,2177.1,0.625,0.375,0.625,0.375
33,1.90625,36.11111111,7.986111111,63.19444444,2041.961538,2536.4,2145.0,2322.7,2251.0,2104.1,2295.0,1949.0,1620.7,1470.5,1517.0,2689.5,2395.8,2431.9,1980.2,2306.2,1970.8,1304.0,1531.5,1954.2,1976.4,2254.2,1952.6,1281.2,2170.8,1979.3,1622.2,0.25,0.375,0.625,0.5
34,1.545138889,30.90277778,0,69.09722222,2009.542714,2731.8,2106.0,1865.3,2905.8,2235.7,2409.6,1669.0,1426.5,1525.0,1551.0,3389.7,2438.4,2900.3,2644.8,2747.4,2429.0,1723.0,1612.0,1838.3,2049.6,1795.1,1846.2,1514.9,1266.1,2270.3,1666.4,,,,
35,0.315972222,8.680555556,0.347222222,90.97222222,2212.293893,2484.3,2224.7,2098.6,2183.1,1952.0,2578.0,2024.1,1987.5,1905.6,2019.0,2546.5,2032.0,2182.9,2073.8,2587.5,3151.1,1543.0,2085.5,2315.1,2274.7,2161.6,1968.8,1736.9,2753.3,2142.8,2439.9,0.25,0.375,0.5,0.375
36,1.045138889,20.48611111,3.125,79.51388889,2325.860262,2723.8,2469.8,2719.5,2415.2,2544.7,2958.6,2831.9,2289.3,2737.5,2183.4,2654.0,3612.5,2859.8,2878.8,2098.7,2305.5,2619.3,2035.3,2298.8,1708.0,2357.2,2249.9,1859.3,1729.3,2603.7,1837.7,0.25,0.625,0.375,0.5
37,0.232638889,5.208333333,0,94.79166667,2364.227106,2668.0,2471.4,2739.9,2585.7,2175.1,2415.4,2422.4,1941.6,2569.4,1437.5,3094.5,2462.3,2651.5,2313.0,2330.6,2986.3,2394.6,2141.9,3525.4,2506.8,2385.4,2287.5,1456.7,1830.5,2486.8,2304.6,0.25,0.25,0.625,0.375
38,1.131944444,27.43055556,3.472222222,72.22222222,2530.096154,3011.3,3491.2,2408.3,2625.2,2192.1,2493.7,2391.3,2232.0,2101.5,1783.2,2627.8,2932.3,3237.5,5193.3,2585.5,3838.6,1723.8,2614.4,2959.5,2985.7,2411.6,2762.9,2329.5,1701.1,2602.3,2009.4,0.125,0.375,0.5,0.375
39,0.916666667,14.93055556,1.736111111,85.06944444,2182.285714,1901.9,2622.7,2009.5,1912.5,1819.1,2441.0,1870.1,2005.0,1618.0,2582.9,2827.4,2571.7,2446.4,2694.5,2937.6,2715.3,1889.6,3165.2,1711.6,2507.0,1782.3,2850.3,1801.2,1657.7,2307.3,1800.1,0.5,0.625,0.375,0.25
40,0.579861111,13.19444444,1.041666667,86.45833333,2358.293173,3067.1,3828.7,2912.2,2787.8,2706.3,3063.9,2127.8,1822.3,1933.0,1625.6,3484.3,2952.9,2941.3,2428.2,1987.6,1829.0,2202.9,2284.3,1739.0,1827.8,2646.8,3227.9,1479.9,1587.7,2569.4,1963.3,0,0.625,0.5,0.375
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
