p_num,age,gender,respN_mean,RT_mean,perc_Analysed,perc_Timeout,respN_trials_Above_1,rep_NT_1,rep_NT_2,rep_NT_3,rep_NT_4,rep_NT_5,rep_FT_1,rep_FT_2,rep_FT_3,rep_FT_4,rep_FT_5,rand_NT_1,rand_NT_2,rand_NT_3,rand_NT_4,rand_NT_5,rand_FT_1,rand_FT_2,rand_FT_3,rand_FT_4,rand_FT_5,rep_NT_NS_6,rep_NT_NS_7,rep_NT_NS_8,rep_NT_NS_9,rep_NT_S_6,rep_NT_S_7,rep_NT_S_8,rep_NT_S_9,rep_FT_NS_6,rep_FT_NS_7,rep_FT_NS_8,rep_FT_NS_9,rep_FT_S_6,rep_FT_S_7,rep_FT_S_8,rep_FT_S_9,rand_NT_NS_6,rand_NT_NS_7,rand_NT_NS_8,rand_NT_NS_9,rand_FT_NS_6,rand_FT_NS_7,rand_FT_NS_8,rand_FT_NS_9,rep_NT,rep_FT,new_NT,new_FT
13,20,M,0.1511627906976744,2849.1666666666665,89.58333333333334,0.694444444444442,9.722222222222223,2627.75,3961.8571428571427,3426.5714285714284,3168.8333333333335,2755.5714285714284,3173.714285714286,3363.75,4213.75,2086,2291.75,2727.4,2403,2750.3333333333335,2178.1666666666665,2659,3430.25,4265.375,2764,2219.125,2427.75,3062.5,2624.3333333333335,4440,2734.5,2637.25,2809.3333333333335,2573.75,1946.6666666666667,2684.5,3695.75,3234.5,2587,4735.333333333333,2140.25,2051.5,1962.25,2692.8333333333335,3017.285714285714,2792,3488.714285714286,2241.285714285714,2431.875,1822.142857142857,1911.2857142857142,0.25,0.125,0.5,0.5
14,22,F,0.24,2334.144,86.80555555555556,2.083333333333337,11.805555555555555,2936.4,2856.875,2963.1666666666665,1909.4285714285713,2484.1428571428573,2692.2,2650,1457.5714285714287,2090.25,1717.857142857143,2895.4285714285716,2638.285714285714,2314.4,2709.6666666666665,2547.125,3046,2358.375,1930.5,2809.625,1973,2431.75,2140.25,2282,2357,2320.5,1895.75,3917,2154,1320.75,1390.5,1454.5,1848.75,1485,1120.75,1369,1457.6666666666667,2609.875,3056.2,3523.375,2348.6666666666665,2561.3333333333335,2054,1670,2368.5714285714284,0.5,0.25,1,0.25
15,21,F,0.30049261083743845,2326.113300492611,70.48611111111111,5.2083333333333375,28.819444444444443,2340,1967.1666666666667,2284.4285714285716,2493.1666666666665,2135.6666666666665,2587.6666666666665,2161.3333333333335,3063.3333333333335,2595.4285714285716,1472.6666666666667,2338.8,3404,3023,3033.25,2378.6,3734,2536.4,1823.2,2329.8,2032,1981.75,1684.75,2070.75,2207,2115.25,2717,2210,2043,1691.3333333333333,1280,954,1509.5,2643,2824.3333333333335,1976,2032,1889.6666666666667,2362.5,2298.714285714286,2084.285714285714,2409.6,1756.4,2298.8,1835.8333333333333,0.5,0.5,0.75,0.5
16,20,F,0.2682926829268293,2609.7642276422766,85.41666666666666,3.125,12.847222222222221,3124.5,2571,2929,3395,3355.714285714286,3032,2061.5,2135.4285714285716,2282.1666666666665,2419,3706,2844.5,3545.75,2370.1428571428573,2441.625,3083.6666666666665,2660.4285714285716,2479.375,3034.2,2266.75,2259.75,2037.75,2154.25,2485,3506,4337.5,3423.5,2261.6666666666665,1557.25,1762.5,1793,1687.75,2359.75,2845.75,2890.5,1562.75,2836.714285714286,2275,2312.8571428571427,2360.4285714285716,3043,2862.1428571428573,2355.4285714285716,2552.75,0.25,0.5,0.5,0.5
17,21,M,0.25311203319502074,2402.8215767634856,83.68055555555556,0.694444444444442,15.972222222222221,2389.1428571428573,1883.6666666666667,2116,2381.285714285714,2002.5,2564,2768.5714285714284,2633.5714285714284,2525.125,2230.625,2703.5714285714284,2640.25,2031.8333333333333,3199.875,2411.8,3922.25,3125.2,2700.5,3047.6,3387.6666666666665,2565.25,2101.25,1837.5,2721,1313.3333333333333,2098.75,2228.3333333333335,1734.5,1993.25,2057,2815.5,1757.25,1673.75,1806,3065,1265,2325.125,2614.4,2118.6,2484.4285714285716,2011.2857142857142,2215.3333333333335,1971.25,1860.7142857142858,0,0.5,0.375,0.125
18,20,M,0.17562724014336917,2204.1182795698924,96.875,0.694444444444442,2.430555555555556,2847.8571428571427,2189.285714285714,2614,1609.625,2009.75,2082.125,2827.875,1803.5714285714287,1777.75,1682.125,3051.375,2514.714285714286,2572.375,1800.25,2301.8571428571427,3945.875,3684.285714285714,1823.875,2840.5,1918,1468.25,1482.25,2195.75,1576.25,1759.75,2087.5,1898.5,1958,2093.25,948.5,957.25,1123.75,2462.5,2337.5,2429.25,2082,2098.5,2548.875,1630.875,2135.1428571428573,1863.857142857143,1959.75,2223.75,2743,0.375,0.5,0.5,0.375
19,20,F,0.24369747899159663,2994.9873949579833,82.63888888888889,5.555555555555558,14.23611111111111,5182,2870.8333333333335,2913,2546.285714285714,2594,5057.666666666667,5082,3143.125,3570,2887.375,4258.8,4520.5,3889,3094.6666666666665,2857.4285714285716,5192.142857142857,3811.285714285714,3254.3333333333335,1971.5714285714287,2741.625,1879,3359.5,1765.5,2765.25,3795,2180,3612.5,2050.3333333333335,3654,2671.25,1435.6666666666667,1510,2662.5,1048.5,1328,1645.75,2105.2,3144.4285714285716,4331.8,2968.285714285714,2655.714285714286,2081.75,2148.75,2627.625,0.375,0.375,0.5,0.25
20,21,F,0.21904761904761905,3012.4,72.91666666666666,3.819444444444442,26.38888888888889,3113.5,2367.1666666666665,2887.5,2502.3333333333335,3196.5,3578.1666666666665,3691.75,3139,3128.5,2734,4207.8,3209.6666666666665,2959.6666666666665,2576.5,3060,3300.8,3509.5714285714284,2278.6,2181.4,3537.3333333333335,2707,3004,3198.3333333333335,3191.3333333333335,4132,2247,3276,NA,2149,2135,2493,3017,2881.5,4034.75,3393,2261.3333333333335,2940.8,3063.625,3000.5,2582.5714285714284,3350.6666666666665,3056.3333333333335,3131.3333333333335,2533.8333333333335,0.5,0.625,0.5,0.25
21,22,F,0.15833333333333333,2654.070833333333,83.33333333333334,3.819444444444442,15.277777777777779,3886,3640.375,3097.1428571428573,2863.714285714286,2321,3457.285714285714,1792.2857142857142,2352.75,2974.6666666666665,1870.75,2916.75,3195,2587.5,3020.8571428571427,3557,3454.3333333333335,2045.1666666666667,1970.8333333333333,2343.2,1888.875,4121,1893.5,5843,2987.6666666666665,2673.75,1354,2029.25,1429.25,3123.25,1787.6666666666667,1904,1698.25,1895,2039.3333333333333,2621,1740.75,3062.375,2267.4,3505.4,2542.8571428571427,2002.875,2982.1666666666665,1937.5,2516.4,0.25,0.75,0.25,0.5
22,20,F,0.2850467289719626,3071.8317757009345,74.30555555555556,6.944444444444442,25.34722222222222,4006,4365.25,2359.25,2389,3169.8571428571427,2901.25,3358.8,2150.6666666666665,2378,2462.25,3163,3674.2,2917,2980.6,2457.8333333333335,3078,4444.571428571428,2795.625,2911,4296.2,4107,2251,2634.75,2318,3687.3333333333335,2065,2631.6666666666665,2421,2806,3379.25,NA,3606,4258,3151,3987,3654.25,3391.6,2609.75,2370.8333333333335,1638.6,2459.75,4506.285714285715,4165,2603.4285714285716,0.625,0.75,0.375,0.25
