exp,subj,age,gender,condition,phase,block,awareness_type,session,trial,set,pattern,quadrant,RT,num_additional_Rs,dist_to_T,camera_distance_from_target,angle_error_degrees,fc_response
2,1,19,F,proximal_repeated,1,17,0,1,3,3,65,1,1531,0,0.2433024,6.244623,2.104591,-1
2,1,19,F,proximal_repeated,1,17,0,1,4,4,66,2,4886,4,0.1098517,12.25513,0.5008504,-1
2,1,19,F,proximal_repeated,1,17,0,1,5,3,68,4,3609,0,0.2642933,6.572214,2.190263,-1
2,1,19,F,proximal_repeated,1,17,0,1,6,3,67,3,2053,0,0.360109,6.248991,3.135565,-1
2,1,19,F,proximal_repeated,1,17,0,1,7,4,65,1,1820,0,4.424655e-8,12.20977,0,-1
2,1,19,F,proximal_repeated,1,17,0,1,8,4,67,3,3153,0,0.5880984,12.33238,2.666163,-1
2,1,19,F,proximal_repeated,1,18,0,1,1,3,72,4,2954,0,0.1735306,6.587,1.437086,-1
2,1,19,F,proximal_repeated,1,18,0,1,2,4,71,3,1731,0,0.4466955,12.3231,2.008181,-1
2,1,19,F,proximal_repeated,1,18,0,1,3,4,69,1,1331,0,0.1959444,12.28809,0.901789,-1
2,1,19,F,proximal_repeated,1,18,0,1,4,4,70,2,2720,1,0.2929145,12.48179,1.32648,-1
2,1,19,F,proximal_repeated,1,18,0,1,5,3,69,1,1542,0,0.4815604,6.243463,4.298241,-1
2,1,19,F,proximal_repeated,1,18,0,1,6,4,72,4,1865,0,0.9043078,12.4223,4.091894,-1
2,1,19,F,proximal_repeated,1,18,0,1,7,3,71,3,1831,0,0.2945334,6.258298,2.629869,-1
2,1,19,F,proximal_repeated,1,18,0,1,8,3,70,2,2498,0,8.241759e-8,6.610101,0,-1
2,1,19,F,proximal_repeated,1,19,0,1,1,3,75,3,2386,0,0.1674667,6.228461,1.463799,-1
2,1,19,F,proximal_repeated,1,19,0,1,2,4,73,1,1287,0,0.09193094,12.22897,0.4205793,-1
2,1,19,F,proximal_repeated,1,19,0,1,3,4,74,2,1854,0,0.7631318,12.46579,3.42777,-1
2,1,19,F,proximal_repeated,1,19,0,1,4,4,75,3,3575,0,0.5909384,12.40825,2.699942,-1
2,1,19,F,proximal_repeated,1,19,0,1,5,3,76,4,4731,1,0.1143387,6.580552,0.9427382,-1
2,1,19,F,proximal_repeated,1,19,0,1,6,3,73,1,3009,2,0.3764183,6.214411,3.302805,-1
2,1,19,F,proximal_repeated,1,19,0,1,7,3,74,2,2576,1,0.3402119,6.643504,2.813134,-1
2,1,19,F,proximal_repeated,1,19,0,1,8,4,76,4,1831,0,0.6082435,12.38968,2.7113,-1
2,1,19,F,proximal_repeated,1,20,0,1,1,4,77,1,2831,1,1.673309e-7,12.22238,0,-1
2,1,19,F,proximal_repeated,1,20,0,1,2,4,79,3,3831,0,0.6443748,12.30006,2.968672,-1
2,1,19,F,proximal_repeated,1,20,0,1,3,3,80,4,2598,0,0.3123021,6.55435,2.592387,-1
2,1,19,F,proximal_repeated,1,20,0,1,4,3,78,2,3209,0,0.07571106,6.614958,0.6224399,-1
2,1,19,F,proximal_repeated,1,20,0,1,5,3,79,3,3398,0,0.2605113,6.216304,2.274431,-1
2,1,19,F,proximal_repeated,1,20,0,1,6,4,78,2,4475,0,5.23455e-8,12.42687,0,-1
2,1,19,F,proximal_repeated,1,20,0,1,7,3,77,1,1531,0,0.3064874,6.233068,2.66146,-1
2,1,19,F,proximal_repeated,1,20,0,1,8,4,80,4,2887,0,0.9418198,12.4189,4.262873,-1
2,1,19,F,proximal_repeated,1,21,0,1,1,2,78,2,1253,0,0.1181798,12.4619,0.5319225,-1
2,1,19,F,proximal_repeated,1,21,0,1,2,2,77,1,9999,14,-1,-1,-1,-1
2,1,19,F,proximal_repeated,1,21,0,1,3,1,80,4,3842,0,0.1348558,6.575514,1.113466,-1
